Bat species,Number of samples,Bat family,Continent,Country,Reference
Chaerephon pumilus,3683,Molossidae,Africa,"Cameroon, DR Congo, Ethiopia, Guinea, Ivory Coast, Kenya, Republic of Congo, Rwanda, Sierra Leone, Tanzania, Uganda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Cheiromeles torquatus,1,Molossidae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Molossus currentium,29,Molossidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Molossus molossus,125,Molossidae,America,"Bolivia, Brazil","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Molossus rufus,6,Molossidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops brachypterus,12,Molossidae,Africa,"DR Congo, Ivory Coast","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops condylurus,3336,Molossidae,Africa,"Cameroon, DR Congo, Ghana, Guinea, Ivory Coast, Kenya, Republic of Congo, Rwanda, Sierra Leone, Tanzania","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops demonstrator,7,Molossidae,Africa,Cameroon,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops midas,499,Molossidae,Africa,Ethiopia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops mops,3,Molossidae,Africa,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops nanulus,1,Molossidae,Africa,DR Congo,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mops thersites,44,Molossidae,Africa,Ivory Coast,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nyctinomops laticaudatus,4,Molossidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nyctinomops macrotis,35,Molossidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Otomops martiensseni,137,Molossidae,Africa,Rwanda,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Promops nasutus,1,Molossidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Tadarida brasiliensis,66,Molossidae,America,"Bolivia, Mexico","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Tadarida latouchei,3,Molossidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Tadarida teniotis,36,Molossidae,Asia,China,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Mormoops megalophylla,15,Mormoopidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pteronotus davyi,6,Mormoopidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pteronotus parnellii,144,Mormoopidae,America,"Brazil, Mexico","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Pteronotus personatus,6,Mormoopidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Natalus stramineus,34,Natalidae,America,Mexico,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Noctilio albiventris,2,Noctilionidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Noctilio leporinus,1,Noctilionidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycteris arge,66,Nycteridae,Africa,"Liberia, Uganda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycteris grandis,33,Nycteridae,Africa,"Cameroon, Guinea","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycteris hispida,32,Nycteridae,Africa,"Cameroon, Guinea, Republic of Congo, Rwanda","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycteris major,2,Nycteridae,Africa,"Cameroon, Ivory Coast","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
